director,director_score
Sylvio Tabet,0
Bill Duke,4
Jocelyn Moorhouse,4
James Lapine,4
Irwin Winkler,4
Frank De Felitta,1
Alain Corneau,3
Eric Red,0
Heywood Gould,3
Kevin Hooks,4
Mark Joffe,3
George Gallo,0
Jeffrey Hornaday,3
Julie Dash,3
Mary Agnes Donoghue,4
Claude Chabrol,3
Michael Lindsay-Hogg,3
Radha Bharadwaj,0
Avi Nesher,0
Michael Bortman,1
Rodman Flender,0
Maurice Pialat,3
Vicente Aranda,3
Roberto Benigni,5
Quentin Tarantino,5
David Fincher,5
Penelope Spheeris,5
Roland Emmerich,5
Fran Rubel Kuzui,4
Kenny Ortega,5
Peter Jackson,5
Brett Leonard,0
Les Mayfield,5
Edward James Olmos,0
Robert Rodriguez,5
Bill Kroyer,3
Ernest R. Dickerson,4
Rémy Belvaux,3
Jon Turteltaub,5
David Price,3
Baz Luhrmann,5
Sally Potter,3
Tony Maylam,0
Phil Roman,0
Geoffrey Wright,3
Manny Coto,3
Carl Franklin,4
Eugene Levy,0
Stanley Tong,4
Bruce W. Smith,3
Alfonso Arau,4
Randall Miller,4
Régis Wargnier,3
Bruce A. Evans,4
Dale Launer,3
Stephen Milburn Anderson,0
Brian Henson,4
Claude Sautet,3
Ryû Murakami,3
Clarence Fok,0
Chris Menges,0
Fernando Trueba,3
Tom Kalin,0
Tim Robbins,0
Darrell Roodt,4
Roeland Kerbosch,0
Alexandre Rockwell,3
Craig Bolotin,1
Allison Anders,3
Martin Bell,0
Arnaud Desplechin,0
Nicole Conn,0
Arne Glimcher,4
Gillies MacKinnon,0
Barnet Kellman,4
Ming-liang Tsai,1
Billy Crystal,3
Ringo Lam,0
Gregg Araki,3
Tamra Davis,5
Jean-Claude Lauzon,3
Anthony Drazan,0
Djibril Diop Mambéty,1
Nick Gomez,0
Shin'ya Tsukamoto,0
Andy Wolk,3
Mark Frost,3
Arthur Allan Seidelman,0
Vincent Ward,0
Neal Jimenez,0
Nora Ephron,5
Barry Primus,3
Charlie Peters,3
Mark Herman,4
Colin Nutley,4
Hark Tsui,0
Jacques Dorfmann,3
David Mickey Evans,4
Robert De Niro,0
Marco Brambilla,0
Henry Selick,4
Daniel Stern,4
Albert Hughes,5
Duwayne Dunham,4
John Woo,5
Dominic Sena,5
Alan Shapiro,3
Gene Quintano,4
Mark Jones,3
Brian Yuzna,0
Steven Zaillian,0
Adam Marcus,4
Roger Avary,3
Guillermo del Toro,5
Stephen Surjik,3
Jennifer Lynch,0
Joseph Vilsmaier,3
Rob Bowman,5
George Sluizer,4
Andrew Birkin,3
Tom Stern,0
Thomas Carter,5
Fraser C. Heston,3
Victor Nunez,3
Mel Gibson,5
Kaige Chen,3
Luis Llosa,5
Robert Klane,3
Jean-Marie Poiré,0
Stephen Sommers,5
Nicholas Kazan,3
Bruce Joel Rubin,4
John Whitesell,5
Mike Binder,4
Charles Grosvenor,0
Richard Williams,0
Anh Hung Tran,3
Woo-Ping Yuen,3
Sang-ok Shin,3
Christopher Coppola,0
Mikael Salomon,0
Ang Lee,5
Patrick Hasburgh,0
Scott McGehee,3
Jay Craven,3
Leon Ichaso,3
Nanni Moretti,4
Marshall Herskovitz,3
Daniel Algrant,3
Kirk Wong,4
Michael Steinberg,0
Michael Lessac,3
Gurinder Chadha,5
Sam Shepard,1
E. Max Frye,4
Robert Young,3
Yves Simoneau,0
Stephen Cornwell,0
Rusty Cundieff,3
Billy Weber,0
John Madden,5
Warren Leight,0
Frank Darabont,5
Roger Allers,5
Jan de Bont,5
Peter Farrelly,5
Alex Proyas,5
Tom Shadyac,5
Steven E. de Souza,4
Sam Weisman,5
Kevin Smith,5
Jonathan Prince,4
Stephan Elliott,4
David Carson,5
Ben Stiller,5
Peter Segal,5
Kim Henkel,0
P.J. Hogan,5
Rupert Wainwright,5
Lee Tamahori,5
John Pasquin,5
Pixote Hunt,0
Danny Boyle,5
Jeremy Leven,4
James Yukich,0
Hart Bochner,4
Nicholas Hytner,0
Betty Kaplan,3
Jeff Pollack,3
Alek Keshishian,4
Andrew Scheinman,4
Steven Seagal,0
Patrice Chéreau,3
David O. Russell,5
Chia-Liang Liu,3
Nancy Meckler,3
Richard Rich,0
Adam Rifkin,0
Jefery Levy,1
Doug McHenry,4
Andrew Morahan,0
Michele Soavi,0
Stephen Norrington,5
Adam Resnick,0
Caroline Thompson,3
Charles Haid,4
Allan A. Goldstein,0
Jessie Nelson,5
Ted Demme,4
Charles T. Kanganis,0
Adam Bernstein,1
John Bailey,0
James Gray,4
Boaz Yakin,5
Stuart Orme,3
Iain Softley,4
Eric Meza,4
Rory Kelly,3
Michael Austin,3
George Huang,0
Gary Jones,0
Tia Brelis,3
Gérard Corbiau,3
Antonia Bird,4
Milcho Manchevski,0
John Roberts,3
Geoff Burton,3
Matty Rich,3
Xavier Koller,0
Kelly Reichardt,3
Bryan Singer,5
Larry Clark,3
John Lasseter,5
Paul W.S. Anderson,5
F. Gary Gray,5
Scott Kalvert,0
Michael Bay,5
Bryan Spicer,4
Mathieu Kassovitz,5
Brad Silberling,5
Beeban Kidron,5
Steven Brill,5
Lesli Linka Glatter,4
Mike Gabriel,5
Kevin Lima,5
John N. Smith,5
Mamoru Oshii,4
Chris Noonan,5
Betty Thomas,5
Robert Longo,0
Danny Cannon,4
Victor Salva,5
Gregory Widen,3
Steve Oedekerk,5
Holly Goldberg Sloan,3
Joe Chappelle,4
Andy Tennant,5
Melanie Mayron,3
Forest Whitaker,5
Todd Solondz,3
Noah Baumbach,3
Patricia Rozema,3
Simon Wells,4
Andrew Sipes,0
Kelly Makin,0
Gary Fleder,5
Michael Moore,0
Christian Duguay,0
Álex de la Iglesia,0
Oliver Parker,5
Kevin James Dobson,3
James Mangold,5
Philip Haas,0
Peter Horton,3
J.F. Lawton,0
Michelangelo Antonioni,3
Gregory Nava,4
Edward Burns,4
Stacy Title,4
Tab Murphy,3
Christopher Monger,0
Tim Sullivan,3
Paul Auster,0
Christopher Ashley,3
Daisy von Scherler Mayer,4
Carlo Carlei,0
Desmond Nakano,0
Peter Hall,3
Maria Maggenti,3
John Fortenberry,4
Theodoros Angelopoulos,1
Benoît Jacquot,3
Rick Stevenson,3
David Frankel,5
Marleen Gorris,3
Clare Peploe,3
Preston A. Whitmore II,0
Gregory Hoblit,5
Wes Anderson,5
Lana Wachowski,5
Billy Bob Thornton,0
Tom Hanks,4
Bobby Farrelly,5
Jonathan Frakes,5
Doug Liman,5
Paris Barclay,4
Paul Thomas Anderson,5
Campbell Scott,3
Stuart Baird,5
Jason Bloom,0
Douglas McGrath,0
Nicolas Winding Refn,4
David Twohy,4
David Hogan,0
Steve Buscemi,0
