star,star_score
Ron Fazio,0
Don Johnson,0
Takeshi Kitano,4
Kiefer Sutherland,5
Lorraine Bracco,0
Geneviève Lemon,3
Kirk Cameron,4
Holly Hunter,4
Dexter Fletcher,3
Michael Chiklis,3
Lothaire Bluteau,4
Jillian McWhirter,0
Hoyt Axton,4
Bernadette Peters,3
Stephen Shellen,0
Dorota Segda,0
Andrew Stevens,3
Jenny Wright,0
Ron Silver,0
David Bradley,3
Keith Coogan,3
Michel Blanc,3
Sam Elliott,4
Jesse Birdsall,3
Peter Falk,3
Josef Sommer,0
Clark Brandon,0
Jonathan Emerson,0
Annabella Sciorra,5
John Larroquette,3
Jim Brown,3
Macaulay Culkin,5
Judith Hoag,5
Johnny Depp,5
Liam Neeson,5
Balthazar Getty,4
Anne Parillaud,0
Alex Vincent,4
Richard Linklater,3
Leslie Cheung,3
Michael Oliver,5
Christopher Reid,5
Tony Todd,4
Fred Ward,4
Jonathan Brandis,0
Kate Hodge,3
James Lorinz,0
Andrew Dice Clay,3
Keely Christian,3
Akira Terao,0
Bradley Gregg,0
Hossain Sabzian,0
Dylan McDermott,4
Marlon Brando,0
Gary Kemp,3
David Andrews,3
Debbie Harry,4
Carolyn Farina,3
Solomon Perel,3
Juliet Stevenson,3
Alan Young,4
Alison Steadman,3
George O'Hanlon,4
Jenny Seagrove,4
Richard Harris,3
Gong Li,4
Jean Rochefort,3
Richard Alexander,0
Jared Rushton,3
Patrick Bergin,0
Eric Idle,4
Kerry Fox,3
Roger Rose,4
Chris Young,3
Frances McDormand,5
Douglas Barr,4
Ed Begley Jr.,0
James Bond III,3
Philippe Caubère,3
Tim Roth,4
Christina Applegate,4
Laura Harring,3
Anne Teyssèdre,1
Dabney Coleman,0
Louis Tripp,0
J. Eddie Peck,3
Miou-Miou,3
Dana Carvey,4
Kirstie Alley,4
Nicole Eggert,3
Fabrice Luchini,4
Takaaki Enoki,0
Kenny Ireland,1
Lena Stolze,3
Michael Gottli,0
Cuba Gooding Jr.,5
Frank Whaley,4
Maribel Verdú,4
Paige O'Hara,5
Kathy Bates,5
Billy Campbell,4
Anna Chlumsky,4
Lawrence Ng,0
Julia Roberts,5
Brian Krause,4
John Turturro,0
Paige Turco,4
Robert Arkins,3
Irène Jacob,3
Wesley Snipes,5
Brandon Quintin Adams,4
Marie-Laure Dougnac,3
Justin Whalin,0
Juliette Binoche,5
Brian Bosworth,0
Gabrielle Anwar,0
Miki Imai,3
David Morse,0
James Stewart,4
Alan Rickman,3
Joe Mantegna,0
Mimi Rogers,3
Kristy Swanson,3
Glen Campbell,0
Scott Bakula,0
Vanilla Ice,0
Nina Siemaszko,3
Ed O'Neill,0
Jill Schoelen,3
Richard Grieco,4
Ned Beatty,3
Barbara Sukowa,3
Brad Pitt,5
Edith Meeks,3
John Goodman,5
Alfred Molina,4
Diego Abatantuono,3
Jeff Speakman,3
Steven Waddington,3
Claire Bloom,0
Laura Dern,0
John Gielgud,3
Elias Koteas,4
Sachiko Murase,3
Sasha Mitchell,3
Joe Pesci,0
Hugo Weaving,5
Sharon Stone,4
Cindy Williams,0
Jeff Fahey,4
Tommy Davidson,4
Harley Jane Kozak,3
Anthony LaPaglia,5
Cora Lee Day,3
Daniel Giménez Cacho,1
Vincent Spano,0
Robert Carlyle,5
Kevin Anderson,0
Madeleine Stowe,0
Peter Berg,0
Jacques Dutronc,3
Roberto Benigni,5
Liza Minnelli,3
Harvey Keitel,0
Virginia Madsen,5
Scott Weinger,5
Stephen Rea,5
Bridget Fonda,5
Mike Myers,5
Sheryl Lee,0
Charles Grodin,5
Jane March,3
Timothy Balme,0
Carlos Gallardo,3
Hugh Grant,5
Edward Furlong,0
Samantha Mathis,4
Brendan Fraser,5
Omar Epps,5
Benoît Poelvoorde,3
Victor Wong,4
Terry Farrell,4
D.B. Sweeney,5
Penélope Cruz,5
Terence Knox,3
Paul Mercurio,4
Tilda Swinton,5
James Marshall,0
Richard Kind,0
Russell Crowe,5
George Strait,3
Larry Drake,4
Andy Garcia,0
Faizon Love,4
Hugh Laurie,0
Marco Leonardi,4
Olivier Gruner,3
Damon Wayans,4
Tate Donovan,5
Brandon Lee,4
Glenn Plummer,0
Daniel Auteuil,4
Miho Nikaido,3
Sean Young,0
Chingmy Yau,0
Fernando Fernán Gómez,3
Daniel Schlachet,0
Maarten Smit,0
Steve Buscemi,4
