writer,writer_score
Jemaine Clement,3
Graham Moore,5
David Robert Mitchell,4
Ivan Menchell,5
Ryan J. Condal,5
Michael Mitnick,4
Jordan Roberts,5
James Lapine,5
Gary Dauberman,5
Anthony McCarten,5
Dan Sterling,0
Dennis Lehane,3
Andrew Jay Cohen,5
Jennifer Kent,4
Melissa K. Stack,5
Germán Servidio,4
Josh Appelbaum,5
Joshua Zetumer,5
Richelle Mead,0
Phil Graziadei,0
Dean DeBlois,5
George Gatins,5
Paul King,5
John W. Richardson,5
Jonathan Tropper,4
John Swetnam,5
Michael Colton,5
Adam Cozad,5
Xavier Dolan,0
Vera Brittain,3
Jorge R. Gutiérrez,4
Veronika Franz,3
Michael Finch,4
Matt Sazama,5
Nelson Greaves,5
Jack Paglen,3
David Flebotte,3
Margaret Nagle,0
Janet Scott Batchler,4
James McFarland,3
Greg Coolidge,5
Tom Gormican,4
Tommy Lee Jones,0
Dennis Kelly,3
Chad Kultgen,0
Luke Greenfield,5
Bart De Pauw,0
Carlyle Eubank,0
Bruce Wagner,0
Louise Stratten,3
Gregory Burke,4
Richard Glatzer,4
Justin Benson,3
Oren Moverman,4
Christina Welsh,4
Andrew Knight,4
Paul Webb,4
Rob Thomas,0
Justin Lader,3
Scott Rothman,3
Patrick Tobin,0
James Bobin,4
Mark Hammer,3
Julius Avery,3
Paul Lalonde,4
Rob Lieber,5
Theodore Melfi,5
Sean Hood,0
Hunter Dennis,5
Joan G. Robinson,4
Melissa McCarthy,5
Jalmari Helander,3
Ruben Östlund,4
Ryan Gosling,0
Will Collins,3
Maria von Heland,3
Al Kaplan,3
Stephen Zotnowski,0
Aimee Lagos,4
Oleg Negin,4
Christopher Kyle,0
Peter Strickland,0
Adam J. Braff,0
Ebru Ceylan,3
Justin Simien,3
Arielle Holmes,3
Julia Hart,3
Roberts Gannaway,5
Ramin Bahrani,0
Adriana Trigiani,3
Andrea Seigel,0
Taylor Sheridan,5
Robert Eggers,5
Emma Donoghue,4
Josh Singer,5
Yorgos Lanthimos,4
Melissa Rauch,0
Morgan Davis Foehl,0
Paul Feig,5
Jeremy Slater,4
J. Mills Goodloe,5
Mark Mallouk,4
Marc Abraham,0
Brian Lynch,5
Carlton Cuse,5
Amy Schumer,5
Damon Lindelof,4
Matt Charman,5
Brian Duffield,5
Jonathan Herman,5
Phyllis Nagy,4
Barbara Curry,4
Kurt Sutter,5
Rosalie Ham,4
T.S. Nowlin,5
Sanyuan Peng,4
Bob Peterson,5
Thomas Hardy,4
Joel Edgerton,4
Jay Martel,5
Doug Ellin,4
Carrie Lee Wilson,3
Ilya Naishuller,4
Chris Bowman,3
Jason Fuchs,0
Bryan Sipe,4
Todd Louiso,3
Brian Burns,5
Josh A. Cagan,4
John McNamara,0
Robert Smigel,5
Tim Talbott,3
Vijayendra Prasad,5
Paula Pell,5
John Kåre Raake,4
Hannes Holm,4
Jesse Andrews,3
Phoebe Gloeckner,0
Deniz Gamze Ergüven,3
Catherine Corsini,3
Oz Perkins,3
Jeethu Joseph,0
Hajime Isayama,4
Alexi Kaye Campbell,4
Simon Kelton,4
Guy Hibbert,4
Sean Mewshaw,3
Max Joseph,4
Nagnath S. Inamdar,4
Angelina Jolie,0
Eric Aronson,0
Brett Haley,4
John Scott 3,3
Jason Pagan,4
Rupert Goold,3
Matt Brown,3
Nissar Modi,0
Nathan Parker,0
Martin Zandvliet,3
David Feeney,4
Todd Casey,4
Robert Bolesto,3
Jean-Patrick Manchette,0
Michael Polish,0
Edoardo Albinati,3
Craig Schulz,5
Ross Bagdasarian,5
Mikko Alanne,3
Irena Brignull,4
Chris Lofing,4
David Farr,3
Matt Bettinelli-Olpin,3
Paul Gross,3
John Maclean,0
Donald Margulies,3
Jon Watts,0
Simon Stone,3
Ryan Landels,0
Apichatpong Weerasethakul,3
Brian Bird,3
Rachel Boynton,0
Anouk Whissell,3
Patrick Brice,3
Laura Terruso,4
László Nemes,3
Mitch Cullin,4
Se-hee Kim,3
Benjamin August,3
Daniel Lee,5
Jojo Moyes,5
Nikolai Leskov,3
Jared Bush,5
Byron Howard,5
Evan Spiliotopoulos,4
Robert Schenkkan,5
Sarah Waters,4
Chuck Hogan,4
Tom Ford,4
Makoto Shinkai,5
Nicolas Wright,5
Julia Ducournau,3
Ransom Riggs,5
Joo-Suk Park,5
Douglas Cook,3
Allison Schroeder,5
Kyle Hunter,5
Bill Dubuque,5
Barry Jenkins,5
Ike Barinholtz,5
Stephen Chin,4
Dan Brown,5
Jonathan Perera,0
Josh Campbell,5
Saroo Brierley,5
Deon Taylor,4
Kieran Fitzgerald,0
Piyush Gupta,5
Ana Lily Amirpour,0
Matt Cook,3
Seth W. Owen,3
Ellen Furman,0
Kelly Fremon Craig,4
John Phillips,5
Daniel Scheinert,3
Carlo Bernard,5
Stacey Menear,5
August Wilson,4
Andy Samberg,0
Ivan Sen,3
Michael Lesslie,5
Elizabeth Wood,3
Andrew Baldwin,0
Brian Reindl,0
Anna Biller,3
Jessica Sharzer,5
Simon Carmody,4
Christy Beam,5
Jeremy Gillespie,3
Simon Burke,3
Lew Wallace,0
Patrick Massett,0
Jordan Peele,5
Patrick Ness,3
Marc Haimes,4
T.J. Fixman,0
Zack Kahn,3
Nicholas Martin,4
Brian Azzarello,3
Eric Summer,5
Amat Escalante,3
Sean Conway,0
Nick Antosca,4
Jim Strouse,0
Maren Ade,4
Lissa Evans,4
Ben Fountain,0
Robert Carlock,0
Radhika Rao,3
Takashi Hasegawa,3
Susan McMartin,4
Jonathan Jakubowicz,0
Deborah Lipstadt,0
Kara Holden,3
Shoojit Sircar,3
Babak Anvari,3
Ash Brannon,0
Joe Shrapnel,0
Sarah Adina Smith,3
Simon Aboud,3
Sabrina B. Karine,3
Eric Pearson,5
Tom O'Connor,5
Chase Palmer,5
Jenny Bicks,5
Michael Berk,5
James Ivory,4
Hallie Meyers-Shyer,4
Lee Unkrich,5
Allan Heinberg,5
Sebastián Lelio,3
Michael Pearce,3
Michael Green,5
Greta Gerwig,5
Jules Asner,4
Niall Leonard,5
Scott Lobdell,5
Art Marcum,5
Ronald Bronstein,0
Robert Festinger,3
Pierre Christin,4
Stephen Schiff,4
Armando Iannucci,4
Tom Flynn,4
Jon Hartmere,5
Gary Spinelli,5
James Ponsoldt,4
Brian Fee,5
Lucia Aniello,4
Rick Rosner,3
Robert L. Baird,5
Sean Flynn,0
Emily V. Gordon,4
Cory Finley,0
Coralie Fargeat,3
Jo Nesbø,4
Johannes Roberts,5
Liz Hannah,5
Paul China,3
Logan Sparks,3
Trey Edward Shults,4
Tony Leondis,5
David Branson Smith,3
Christina Hodson,5
Dorota Kobiela,4
Francis Lee,3
Gregg Hurwitz,0
Ronnie Sandahl,3
Mark Felt,3
W. Bruce Cameron,5
Kogonada,3
Giovanni Boccaccio,3
Eskil Vogt,3
Chloé Zhao,3
Marc Meyers,3
Brendan O'Brien,0
Angela Workman,3
Alex McAulay,3
Jeremy Haft,4
Robert Schwentke,3
John Pollono,0
Roger Michell,4
Yu-na Eom,5
Ash Avildsen,3
Stacey Harman,5
Justin Chon,3
Brian Selznick,3
Fatih Akin,3
Van Robichaux,4
Dwain Worrell,3
Michael Zadoorian,4
Ron Hall,0
Meghan McCarthy,4
Justin Malen,3
Knate Lee,4
Jeff Kinney,4
Jeremy Dyson,3
Alex von Tunzelmann,3
Eliza Hittman,3
Emma Jensen,3
Barbara Marshall,4
Ben Collins,3
Hiroaki Samura,3
Simon Reade,3
Michael Koskoff,0
Robin Campillo,4
Jo-yun Hwang,4
Mike Makowsky,3
Byeong-sik Jung,4
Philippa Goslett,3
Franck Khalfoun,4
Andrea Gyertson Nasfell,3
Jonathan Penner,4
Ho-min Ju,5
Bryan Woods,5
Ari Aster,5
Darcey Bell,5
Jeff Pinkner,5
Nick Vallelonga,5
Charlie Wachtel,5
Andy Weiss,0
Kenji Bando,4
Bo Burnham,4
Dario Argento,0
Deborah Davis,5
Semi Chellas,0
Byron Willinger,5
Lindsay Shapero,4
Ben Chandler,0
Nadine Labaki,5
Aaron Kandell,4
Becky Albertalli,4
P.L. Travers,5
Genndy Tartakovsky,5
Graham Roland,4
Ted Tally,4
Susanna Fogel,4
Beau Willimon,4
Phil Johnston,5
Geneva Robertson-Dworet,5
David Lagercrantz,0
Juel Taylor,5
Ryan Engle,5
Jonah Hill,0
Chad St. John,4
Jungmi Oh,3
Aneesh Chaganty,5
Brian Kehoe,5
Matthew Orton,0
Rafael Casal,3
David Birke,4
Bill Holderman,5
Crispian Mills,3
Boots Riley,4
Steven S. DeKnight,5
Chad Hodge,3
Michael Reisz,5
Daniele Sebastian Wiedenhaupt,4
Matt Leslie,3
Joe Penna,3
Roberta Hanley,0
Arijit Biswas,5
John Collee,4
Bart Layton,3
John Bellairs,5
Leo Rossi,0
A.A. Milne,5
Mark Kruger,3
Desiree Akhavan,3
Helen Edmundson,4
John Callahan,3
Garrard Conley,3
Paul Dano,3
Bethany Ashton Wolf,4
Daniel Stiepleman,4
Yoru Sumino,4
Brandon Boyce,3
Anthony Tambakis,4
Sam Levinson,0
Ashleigh Powell,4
Steve Galluccio,3
Todd Berger,0
Kevin Hart,5
Dennis Magnusson,3
Seth M. Sherwood,4
Arash Amel,3
Jay Longino,4
Nicole Taylor,3
Brian Sieve,4
Martin Amis,3
Tom Vaughan,4
Dorothy Blyskal,4
John Altschuler,0
Evgenia Peretz,3
Gustav Möller,3
Brady Corbet,3
Teresa Sutherland,3
Becca Gleason,3
Joe Chappelle,3
Miguel Arteta,3
Blake Harris,3
Prakash Kapadia,5
Jeff Pope,4
Alex Tse,3
Bart Millard,5
Kim Nguyen,3
Akira Toriyama,5
Alice Johnson Boher,4
Jonathan Baker,0
Pella Kagerman,3
Kôhei Horikoshi,4
Ken Aguado,3
Stephen Merchant,4
Christine Leunens,5
Henry Gayden,5
Sam Mendes,5
Guy Busick,4
Andrew Cosby,3
Emily Halpern,4
Robin Bissell,3
Matt Holloway,5
Tyler Nilson,5
Lee Eisenberg,5
Scotty Landes,5
Mikki Daughtry,5
Frank Baldwin,4
Michael Rasmussen,5
Matthew Cirulnick,4
Mindy Kaling,4
Matt Lieberman,5
Micah Fitzerman-Blue,4
Dan Hernandez,5
Jimmie Fails,3
Erica Beeney,0
Dan Hageman,5
Peter Ackerman,5
Ernest Riera,4
Riley Stearns,3
Vincent D'Onofrio,0
Tyler Burton Smith,4
J.C. Lee,3
Joanna Hogg,3
Lulu Wang,4
Peter Hutchings,3
Tripper Clancy,4
Sarfraz Manzoor,3
Edmond Wong,5
Jill Culton,5
Erin Cardillo,4
Malik Bader,3
Alison Peck,0
David Gleeson,0
Lee Cronin,3
Paul Downs Colaizzo,3
Bart Freundlich,3
Gareth Dunnet-Alcocer,3
Sanjeev Dutta,4
Won-Tae Lee,4
Fred Durst,0
Laure de Clermont-Tonnerre,3
Joey O'Bryan,0
Gong Geer,5
Dan Benamor,0
Joyce Smith,4
Zara Hayes,3
Tracy Oliver,4
Yu Yang,5
Justin Monjo,3
Zoya Akhtar,4
John Swab,1
Se-yeong Bae,5
Noble Jones,3
Robert Krantz,3
Sudip Sharma,3
R. Balki,3
Melanie Martinez,0
Ritesh Shah,4
Sujeeth,3
Sang-Geun Lee,5
Van Ling,3
Britt Poulton,3
Abby Johnson,4
Arshad Sayed,3
Joo-hwan Kim,4
Rohan Shankar,4
Surabhi Bhatnagar,3
Lucio Castro,3
Alex Ranarivelo,3
Gorô Taniguchi,4
Jen Tullock,3
John Bunyan,3
Eddie Mensore,0
Alice Austen,3
Robbie Grewal,3
Le-Van Kiet,3
Shelly Chopra Dhar,3
Roxanne Benjamin,3
Chao Wang,5
Su-jin Park,4
Mark Bramble,3
Noel Ashman,0
Andy Golub,0
Rich Christiano,3
Jung Da-Won,4
Drew Cullingham,3
T.C. Christensen,3
Adam Prince,3
Yonggan Yu,5
Paritosh Painter,4
Lee Stanley,3
Claudio Herrera,4
Cat Kwan,5
Noo-ri Park,3
Marie Kreutzer,3
Wanggo Gallaga,0
Andrew E. Matthews,3
Carlo Zen,3
Cory Brusseau,4
Hu Guan,5
Antoinette Jadaone,3
Raj Kumar Gupta,3
Koon-Nam Lui,4
Tim Ogletree,3
Jeffrey Nicholson,3
David Stuart Snell,0
Monia Chokri,3
Scott Teems,3
Keith Brooks,0
Scott Pryor,3
Ji Zhang,4
Dekoven Riggins,0
Kevin Shulman,3
Stefan C. Schaefer,0
C.E. Poverman,0
Aleks Alifirenko Jr.,0
Joseph Ebanks,0
Lisa Huston,0
Lynno Lovert,0
James Randall,0
Pereko Mosia,0
