writer,writer_score
Warren Chaney,0
George R.R. Martin,3
Bill Svanoe,4
Patrice Chaplin,3
James Fox,0
China Kong,0
Dom Irrera,3
James Joyce,3
Nicholas Proffitt,3
Tom Topor,4
Robert Klane,4
Rudy Wurlitzer,0
Christopher Frank,0
Floyd Byars,3
Bill Froehlich,3
Michael Hoffman,3
Marc Shmuger,3
Maria Elena Cellino,0
Leslie Ray,3
Nicholas St. John,0
Daniel Taplitz,0
Paul Garson,0
Richard Martini,3
Charles Dickens,5
John Duigan,4
Peter Greenaway,3
Joel Cohen,5
Robert Kosberg,0
Jerry Belson,4
Alan Hines,3
Andrey Konchalovskiy,3
Diane Kurys,3
Bigas Luna,0
Aleksandr Adabashyan,3
Stephen Carpenter,0
Peter Del Monte,3
Sheldon Lettich,4
John Gatliff,3
Lisa M. Hansen,3
Tennessee Williams,3
Yurek Bogayevicz,3
Roderick Thorp,5
Michael McDowell,5
Gary Ross,5
Barry Morrow,5
Ray Nelson,4
George Lucas,5
Daniel Waters,0
Eddie Murphy,5
Gary K. Wolf,5
Katsuhiro Ôtomo,3
Giuseppe Tornatore,4
Chris Gerolmo,4
Don Mancini,5
William Davies,5
Jerry Zucker,5
John Cleese,4
Kevin Wade,5
Nikos Kazantzakis,3
Barry Strugatz,4
Christopher Hampton,4
Julie Brown,0
John Waters,0
Milan Kundera,0
Theodore Simonson,0
Jim Cox,4
Zalman King,3
Iris Rainer,4
Anne Tyler,4
Charles McKeown,0
Charles Chiodo,0
Dhani Lipsius,4
Sam Egan,0
Andrew Davis,4
Mitch Glazer,4
Keenen Ivory Wayans,5
Ed Justin,3
Daryl Haney,4
Neil Tolkin,4
Peter Atkins,4
Roman Polanski,0
Michael Schiffer,5
Jerico Stone,0
John Bryson,0
Ken Russell,0
Ken Wiederhorn,3
Astrid Lindgren,0
Eliot Asinof,0
Ramón Menéndez,4
Joe Augustyn,3
Lanier Laney,3
David Saperstein,3
Anthony Hickox,0
Jay Cronley,0
Jeffrey Lau,3
Wade Davis,4
William Richert,3
Larry Ferguson,4
Dori Pierson,4
Michael Stewart,0
Ellen Green,4
Emir Kusturica,0
Robert Reneau,4
Jay McInerney,0
Harv Zimmel,4
Frank LaLoggia,0
Harold T.P. Hayes,4
Rockne S. O'Bannon,4
Steve De Jarnatt,0
Colin Shindler,3
Paul Reubens,4
Tim Kazurinsky,4
Agatha Christie,0
Rupert Walters,3
David Twohy,4
Terry Black,0
Stephen Singular,0
James Oliver Curwood,4
John Nichols,0
Josh Goldstein,3
Larry Ketron,0
William C. Anderson,3
Wendy Goldman,4
Rowdy Herrington,0
Steven Kampmann,3
Mira Nair,3
Yahoo Serious,4
John Dixon,4
Andy Breckman,4
R.J. Stewart,0
Mike Leigh,4
Reine-Marie Paris,3
Harvey Fierstein,4
Deborah Blum,0
Catherine Breillat,3
Robert Abramoff,0
Dean R. Koontz,3
Amos Poe,0
Philip Yordan,3
R.J. Robertson,0
Rex Burns,3
Claire Denis,3
Ken Kolb,0
Gary Murphy,4
Andrew Fleming,4
Catherine Storr,3
Rod Amateau,0
James Ellroy,5
Paul Golding,0
Mike Figgis,0
Matthew Chapman,3
Ben Hecht,0
Tod Carroll,4
Susan Sandler,4
Spencer Eastman,3
Stephen Neigher,3
Frank Deford,0
Robert Cormier,3
Richard Brandes,0
Tom Ropelewski,0
Tracy Tormé,0
Patricia Hearst,3
Evelyn Waugh,3
Mark Kasdan,4
John Galsworthy,0
Andrew Deutsch,3
Richard Adams,3
Jarre Fees,0
Michael Blodgett,3
Michael Kaplan,0
Terence Davies,3
Ed Turner,4
Charles G. Booth,0
Oscar Wilde,4
Bill Fishman,0
Michael Bortman,0
Bob Kane,5
Chris Matheson,4
W.P. Kinsella,5
Tom Schulman,5
John Musker,5
Stuart Gordon,5
Dennis Shryack,4
Steven Soderbergh,4
Robert Harling,5
Randy Feldman,0
Ron Kovic,5
Kevin Jarre,5
Michael G. Wilson,5
Richard Smith,0
Earl Barret,4
Daniel Lang,0
John Bishop,0
Shane Connaughton,4
Warren Adler,5
Patricia Louisianna Knop,4
Terry Rossio,0
David Chisholm,4
'Weird Al' Yankovic,3
Amy Heckerling,5
Don Bluth,3
David Webb Peoples,5
Phillip Rhee,0
Mark DiSalle,4
Ava Ostern Fries,0
Alfred Uhry,5
James Fogle,3
Daniel Jay Franklin,3
Lewis Abernathy,3
Richard Price,4
Steven Siegel,5
William Shakespeare,5
Seth Winston,4
Rob Hedden,4
Robin Menken,3
Choderlos de Laclos,4
Michael Thomas,0
Michael Jenning,3
Fay Weldon,4
Blaze Starr,0
Michael Tolkin,0
Terry Jones,3
Larry Brothers,4
Robin Schiff,4
John Dahl,0
John Varley,3
Perry Howze,3
Jon Connolly,4
Hubert Selby Jr.,3
Harold Nebenzal,0
Myra Lewis,4
Jean-Charles Tacchella,4
Ryôzô Kasahara,0
Neil Cuthbert,0
John Godey,0
Robert Conte,4
Albert Z. Carr,3
John Eskow,0
P.F. Kluge,3
Michael Varhol,0
Christopher Hawthorne,0
Stephen Metcalfe,3
Michael Short,0
Leonard Glasser,3
Craig Lucas,4
Martha Moran,3
Anne Rivers Siddons,0
André P. Brink,0
Gaston Leroux,5
Steven Greene,3
Shimon Arama,3
Hal Hartley,0
Wesley Strick,5
Allyn Warner,0
Richard Curtis,5
Lloyd Kaufman,0
